no	なぜ試すか	向き	段2	段3の残る開き	全結び	剛体性	目標終端の座標	層順	秒
1	層順1から	++++----	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1241
13	総当り	++++-+-+	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2120
25	総当り	+++-+---	180°まで	0.10	4.7e-13	3.3e-16	7.18e-04	どちらでもない（一部だけ中に入る）	1040
37	総当り	++-+++--	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1231
49	総当り	++-+----	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1247
61	総当り	++---+--	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2124
73	総当り	+-+++---	180°まで	0.10	4.7e-13	3.3e-16	7.18e-04	どちらでもない（一部だけ中に入る）	1044
85	総当り	+-+-++--	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1226
97	総当り	+-+-----	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1231
109	総当り	+--+--++	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2052
121	総当り	+----+++	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	1650
