no	なぜ試すか	向き	段2	段3の残る開き	全結び	剛体性	目標終端の座標	層順	秒
10	総当り	+++++---	180°まで	0.10	4.7e-13	3.3e-16	7.18e-04	どちらでもない（一部だけ中に入る）	1055
22	総当り	+++-+-++	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1240
34	総当り	++-+++++	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1236
46	総当り	++-+--++	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2119
58	総当り	++---+++	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2142
70	総当り	+-+++-++	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1229
82	総当り	+-+-++++	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1237
94	総当り	+-+---++	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2114
106	総当り	+--+-+++	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2066
118	総当り	+---+-+-	180°まで	0.10	4.7e-13	3.3e-16	7.18e-04	どちらでもない（一部だけ中に入る）	900
