no	なぜ試すか	向き	段2	段3の残る開き	全結び	剛体性	目標終端の座標	層順	秒
4	総当り	+++++++-	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1248
16	総当り	++++--+-	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1242
28	総当り	+++--+-+	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2125
40	総当り	++-++--+	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1236
52	総当り	++--++-+	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1253
64	総当り	++-----+	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2129
76	総当り	+-++-+-+	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2126
88	総当り	+-+-+--+	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1233
100	総当り	+--+++-+	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1230
112	総当り	+--+----	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1107
124	総当り	+----+--	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	1550
