no	なぜ試すか	向き	段2	段3の残る開き	全結び	剛体性	目標終端の座標	層順	秒
5	総当り	++++++-+	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1253
17	総当り	++++---+	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2137
29	総当り	+++--+--	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2131
41	総当り	++-++---	180°まで	0.10	4.7e-13	3.3e-16	7.18e-04	どちらでもない（一部だけ中に入る）	1065
53	総当り	++--++--	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1243
65	総当り	++------	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1235
77	総当り	+-++-+--	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	2137
89	総当り	+-+-+---	180°まで	0.10	4.7e-13	3.3e-16	7.18e-04	どちらでもない（一部だけ中に入る）	1048
101	総当り	+--+++--	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1240
113	総当り	+---++++	180°まで	0.03	5.9e-13	4.4e-16	1.20e-04	外へ折る（先がぜんぶ外側）	1169
125	総当り	+-----++	180°まで	0.02	3.7e-13	3.3e-16	9.10e-05	どちらでもない（一部だけ中に入る）	1633
